Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
69009,430689,434966,2,28-Jan-09,1500,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Car
69009,430689,434966,2,28-Jan-09,1500,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Car
69109,420142,446596,2,26-Jan-09,845,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car
69409,420347,440465,2,25-Jan-09,1715,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,33,Motorcycle over 500cc
69509,428587,440798,3,27-Jan-09,1755,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,50,Car
69509,428587,440798,3,27-Jan-09,1755,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Driver,Serious,Female,42,Car
69509,428587,440798,3,27-Jan-09,1755,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Driver,Serious,Male,39,Car
69509,428587,440798,3,27-Jan-09,1755,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,1,Car
70009,430113,431728,1,28-Jan-09,1440,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,65,Bus or coach (17 or more passenger seats)
70009,430113,431728,1,28-Jan-09,1440,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,67,Bus or coach (17 or more passenger seats)
70609,439643,436962,3,28-Jan-09,1530,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Fatal,Male,75,Car
70609,439643,436962,3,28-Jan-09,1530,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car
70809,421881,442830,2,27-Jan-09,757,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car
70809,421881,442830,2,27-Jan-09,757,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,50,Car
71409,425479,434192,1,28-Jan-09,1740,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Pedestrian,Serious,Male,18,Car
72109,428300,444735,1,20-Jan-09,2140,A,Frost / Ice,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,26,Car
73309,429797,433923,2,28-Jan-09,1000,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,28,Pedal cycle
75209,428838,434630,2,29-Jan-09,1735,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,19,Pedal cycle
75409,429175,438564,2,01-Feb-09,1847,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,26,Car
75509,422946,427920,4,29-Jan-09,749,A,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Driver,Slight,Female,36,Car
75509,422946,427920,4,29-Jan-09,749,A,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Driver,Slight,Female,46,Car
75509,422946,427920,4,29-Jan-09,749,A,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Passenger,Serious,Male,42,Car
75609,427265,427701,2,29-Jan-09,900,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,33,Car
76909,427495,425524,2,30-Jan-09,1405,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,37,Car
77009,424351,438774,1,16-Jan-09,630,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,33,Car
77209,431072,430361,2,30-Jan-09,1840,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,18,Motorcycle over 125cc and up to 500cc
77209,431072,430361,2,30-Jan-09,1840,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,44,Car
